"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21
1,10017,109835,Alameda,Alameda County Office of Education,FAME Public Charter,63,2,3.17,NA,NA,NA
1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,164,,,,,
1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,27,,,,,
1,10017,130427,Alameda,Alameda County Office of Education,Alameda County Opportunity,19,,,,,
1,31617,131763,Alameda,California School for the Deaf,California School for the Deaf-Fremont,47,24,51.06,15.63,4,16.67
1,61119,106401,Alameda,Alameda City Unified,Alameda Science and Technology Institute,13,2,15.38,NA,NA,NA
1,61119,130229,Alameda,Alameda City Unified,Alameda High,446,60,13.45,24.82,49,81.67
1,61119,130609,Alameda,Alameda City Unified,Alameda Community Learning Center,30,3,10,NA,NA,NA
1,61119,130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,19,,,,,
1,61119,132878,Alameda,Alameda City Unified,Encinal High,243,25,10.29,24.48,22,88
1,61119,134304,Alameda,Alameda City Unified,Island High  (Continuation),137,,,,,
1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),23,,,,,
1,61127,130450,Alameda,Albany City Unified,Albany High,307,92,29.97,25.39,78,84.78
1,61143,131177,Alameda,Berkeley Unified,Berkeley High,823,255,30.98,22.64,159,62.35
1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,66,3,4.55,NA,NA,NA
1,61150,102194,Alameda,Castro Valley Unified,Redwood Alternative High,82,,,,,
1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,687,138,20.09,23.72,103,74.64
1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,30,,,,,
1,61168,132746,Alameda,Emery Unified,Emery Secondary,65,5,7.69,NA,NA,NA
1,61176,130062,Alameda,Fremont Unified,American High,484,66,13.64,25.53,57,86.36
1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),36,,,,,
1,61176,130435,Alameda,Fremont Unified,Vista Alternative,36,,,,,
