"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000
01,10017,0109835,Alameda,Alameda County Office of Educa,FAME Public Charter,64,18,28.13,NA,530,529,526,1585,12,66.67,NA,NA
01,10017,0112607,Alameda,Alameda County Office of Educa,Envision Academy for Arts & Technology,38,35,92.11,NA,381,372,381,1134,2,5.71,NA,NA
01,10017,0118489,Alameda,Alameda County Office of Educa,Aspire California College Preparatory Ac,20,,.,NA,,,,,,,NA,NA
01,10017,0130401,Alameda,Alameda County Office of Educa,Alameda County Juvenile Hall/Court,131,,.,NA,,,,,,,NA,NA
01,10017,0130419,Alameda,Alameda County Office of Educa,Alameda County Community,25,,.,NA,,,,,,,NA,NA
01,10017,0130427,Alameda,Alameda County Office of Educa,Alameda County Opportunity,22,,.,NA,,,,,,,NA,NA
01,31617,0131763,Alameda,California School for the Deaf,California School for the Deaf-Fremont,49,1,2.04,NA,,,,,,,NA,NA
01,61119,0106401,Alameda,Alameda City Unified,Alameda Science and Technology Institute,29,23,79.31,NA,556,563,563,1682,17,73.91,NA,NA
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,425,320,75.29,NA,525,556,530,1611,195,60.94,NA,NA
01,61119,0130609,Alameda,Alameda City Unified,Alameda Community Learning Center,27,24,88.89,NA,577,552,565,1694,18,75.00,NA,NA
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,34,17,50.00,NA,361,328,364,1052,0,0.00,NA,NA
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,245,117,47.76,NA,482,521,486,1489,60,51.28,NA,NA
01,61119,0134304,Alameda,Alameda City Unified,Island High (Continuation),133,5,3.76,NA,,,,,,,NA,NA
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),30,,.,NA,,,,,,,NA,NA
01,61127,0130450,Alameda,Albany City Unified,Albany High,266,193,72.56,NA,585,606,592,1783,155,80.31,NA,NA
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,835,530,63.47,NA,569,563,559,1691,379,71.51,NA,NA
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,72,2,2.78,NA,,,,,,,NA,NA
01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,16,,.,NA,,,,,,,NA,NA
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,693,418,60.32,NA,527,573,531,1631,273,65.31,NA,NA
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,55,,.,NA,,,,,,,NA,NA
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,56,19,33.93,NA,374,438,401,1213,2,10.53,NA,NA
01,61176,0130062,Alameda,Fremont Unified,American High,524,308,58.78,NA,547,587,565,1699,226,73.38,NA,NA
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),71,1,1.41,NA,,,,,,,NA,NA
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,31,1,3.23,NA,,,,,,,NA,NA
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,30,5,16.67,NA,,,,,,,NA,NA
01,61176,0134270,Alameda,Fremont Unified,Irvington High,482,343,71.16,NA,560,626,580,1766,268,78.13,NA,NA
01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,333,102,30.63,NA,472,494,477,1444,40,39.22,NA,NA
01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,514,479,93.19,NA,633,694,657,1984,447,93.32,NA,NA
01,61176,0138693,Alameda,Fremont Unified,Washington High,496,249,50.20,NA,521,560,537,1618,157,63.05,NA,NA
01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,92,76,82.61,NA,434,449,432,1316,16,21.05,NA,NA
01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,82,74,90.24,NA,427,406,428,1260,10,13.51,NA,NA
01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,155,1,0.65,NA,,,,,,,NA,NA
01,61192,0133629,Alameda,Hayward Unified,Hayward High,344,113,32.85,NA,439,443,446,1328,29,25.66,NA,NA
01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,435,171,39.31,NA,457,463,464,1385,54,31.58,NA,NA
01,61192,0138339,Alameda,Hayward Unified,Tennyson High,362,107,29.56,NA,424,432,426,1282,17,15.89,NA,NA
01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,60,4,6.67,NA,,,,,,,NA,NA
01,61200,0130492,Alameda,Livermore Valley Joint Unified,Phoenix High (Continuation),22,,.,NA,,,,,,,NA,NA
01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,51,,.,NA,,,,,,,NA,NA
01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,563,282,50.09,NA,544,560,536,1640,190,67.38,NA,NA
01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,441,192,43.54,NA,544,548,541,1632,133,69.27,NA,NA
01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,454,201,44.27,NA,500,519,494,1513,101,50.25,NA,NA
01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative),31,,.,NA,,,,,,,NA,NA
01,61234,0130682,Alameda,Newark Unified,Progressive Academy,1,,.,NA,,,,,,,NA,NA
01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),70,,.,NA,,,,,,,NA,NA
01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraball,182,,.,NA,,,,,,,NA,NA
01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-C,1,,.,NA,,,,,,,NA,NA
01,61242,0114629,Alameda,New Haven Unified,New Haven Community Day,5,,.,NA,,,,,,,NA,NA
01,61242,0134668,Alameda,New Haven Unified,James Logan High,955,402,42.09,NA,493,521,493,1507,189,47.01,NA,NA
01,61242,6089346,Alameda,New Haven Unified,Cabello Student Support Center,7,,.,NA,,,,,,,NA,NA
01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,43,40,93.02,NA,364,372,382,1118,1,2.50,NA,NA
01,61259,0100701,Alameda,Oakland Unified,MetWest High,30,27,90.00,NA,417,391,409,1218,3,11.11,NA,NA
01,61259,0100826,Alameda,Oakland Unified,Mandela High,74,26,35.14,NA,368,407,391,1167,3,11.54,NA,NA
01,61259,0100834,Alameda,Oakland Unified,Media College Preparatory,51,23,45.10,NA,377,355,376,1108,0,0.00,NA,NA
01,61259,0100859,Alameda,Oakland Unified,"YES, Youth Empowerment",33,26,78.79,NA,365,382,368,1115,2,7.69,NA,NA
01,61259,0101063,Alameda,Oakland Unified,College Preparatory and Architecture Aca,67,42,62.69,NA,361,390,364,1116,1,2.38,NA,NA
01,61259,0101469,Alameda,Oakland Unified,LPS College Park,57,24,42.11,NA,393,410,406,1209,4,16.67,NA,NA
01,61259,0102954,Alameda,Oakland Unified,Business and Information Technology High,71,23,32.39,NA,363,397,413,1173,1,4.35,NA,NA
01,61259,0102962,Alameda,Oakland Unified,East Oakland School of the Arts,51,20,39.22,NA,389,370,383,1142,1,5.00,NA,NA
01,61259,0106542,Alameda,Oakland Unified,Community Day,5,,.,NA,,,,,,,NA,NA
01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,16,10,62.50,NA,,,,,,,NA,NA
01,61259,0107417,Alameda,Oakland Unified,Leadership Preparatory High,114,20,17.54,NA,383,385,390,1157,0,0.00,NA,NA
01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,31,27,87.10,NA,419,461,440,1320,5,18.52,NA,NA
01,61259,0110189,Alameda,Oakland Unified,"Expression, Excellence, Community, Empow",79,25,31.65,NA,370,375,401,1146,2,8.00,NA,NA
01,61259,0110361,Alameda,Oakland Unified,Far West,31,16,51.61,NA,420,397,383,1200,3,18.75,NA,NA
01,61259,0111823,Alameda,Oakland Unified,Oakland Aviation High,24,12,50.00,NA,402,370,401,1173,2,16.67,NA,NA
01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,19,22,E,NA,548,619,572,1739,17,77.27,NA,NA
01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,16,18,E,NA,519,586,539,1644,13,72.22,NA,NA
01,61259,0115238,Alameda,Oakland Unified,ARISE High,32,34,E,NA,362,370,389,1121,2,5.88,NA,NA
01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,82,,.,NA,,,,,,,NA,NA
01,61259,0115667,Alameda,Oakland Unified,Oakland International High,75,17,22.67,NA,315,372,334,1022,0,0.00,NA,NA
01,61259,0118224,Alameda,Oakland Unified,Aspire Millsmont Secondary Academy,11,13,E,NA,355,397,342,1094,1,7.69,NA,NA
01,61259,0118653,Alameda,Oakland Unified,Ralph J. Bunche High,104,,.,NA,,,,,,,NA,NA
01,61259,0119859,Alameda,Oakland Unified,Gateway to College at Laney College,74,,.,NA,,,,,,,NA,NA
01,61259,0130146,Alameda,Oakland Unified,Rudsdale Continuation,70,,.,NA,,,,,,,NA,NA
01,61259,0130179,Alameda,Oakland Unified,Street Academy (Alternative),27,5,18.52,NA,,,,,,,NA,NA
01,61259,0130575,Alameda,Oakland Unified,LIFE Academy,64,32,50.00,NA,387,405,413,1205,2,6.25,NA,NA
01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Prep",38,30,78.95,NA,388,430,394,1212,3,10.00,NA,NA
01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory,81,45,55.56,NA,423,446,441,1309,8,17.78,NA,NA
01,61259,0132688,Alameda,Oakland Unified,Dewey Academy,130,,.,NA,,,,,,,NA,NA
01,61259,0135905,Alameda,Oakland Unified,Oakland High,387,208,53.75,NA,434,470,438,1342,53,25.48,NA,NA
01,61259,0136051,Alameda,Oakland Unified,Oakland Technical High,371,213,57.41,NA,475,486,486,1446,87,40.85,NA,NA
01,61259,0137943,Alameda,Oakland Unified,Skyline High,429,257,59.91,NA,482,487,471,1440,117,45.53,NA,NA
01,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts,47,42,89.36,NA,484,420,481,1385,13,30.95,NA,NA
01,61259,6098701,Alameda,Oakland Unified,Hillside Academy,3,,.,NA,,,,,,,NA,NA
01,61259,6114011,Alameda,Oakland Unified,"Independent Study, Sojourner Truth",31,6,19.35,NA,,,,,,,NA,NA
01,61275,0130286,Alameda,Piedmont City Unified,Millennium High Alternative,14,14,100.00,NA,504,470,477,1451,7,50.00,NA,NA
01,61275,0136515,Alameda,Piedmont City Unified,Piedmont High,196,169,86.22,NA,615,619,634,1868,159,94.08,NA,NA
01,61291,0134528,Alameda,San Leandro Unified,Lincoln High (Continuation),77,,.,NA,,,,,,,NA,NA
01,61291,0137588,Alameda,San Leandro Unified,San Leandro High,619,251,40.55,NA,471,491,479,1441,101,40.24,NA,NA
01,61309,0111799,Alameda,San Lorenzo Unified,East Bay Arts High,60,8,13.33,NA,,,,,,,NA,NA
01,61309,0114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,68,62,91.18,NA,485,526,490,1501,33,53.23,NA,NA
01,61309,0130849,Alameda,San Lorenzo Unified,Arroyo High,411,226,54.99,NA,469,497,471,1437,91,40.27,NA,NA
01,61309,0137745,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),96,1,1.04,NA,,,,,,,NA,NA
01,61309,0137810,Alameda,San Lorenzo Unified,San Lorenzo High,281,121,43.06,NA,429,445,440,1314,25,20.66,NA,NA
01,75093,0132704,Alameda,Dublin Unified,Dublin High,346,203,58.67,NA,509,552,512,1573,119,58.62,NA,NA
01,75093,0138453,Alameda,Dublin Unified,Valley High (Continuation),43,,.,NA,,,,,,,NA,NA
01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,585,460,78.63,NA,577,610,586,1773,374,81.30,NA,NA
01,75101,0130252,Alameda,Pleasanton Unified,Village High,122,2,1.64,NA,,,,,,,NA,NA
01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,585,453,77.44,NA,571,596,580,1747,373,82.34,NA,NA
03,10033,0330035,Amador,Amador County Office of Educat,County Community,1,,.,NA,,,,,,,NA,NA
03,10033,0330068,Amador,Amador County Office of Educat,Amador County Special Education,19,,.,NA,,,,,,,NA,NA
03,73981,0330019,Amador,Amador County Unified,Independence High (Continuation),40,,.,NA,,,,,,,NA,NA
03,73981,0330050,Amador,Amador County Unified,North Star Independent Study,56,,.,NA,,,,,,,NA,NA
03,73981,0330753,Amador,Amador County Unified,Amador High,167,65,38.92,NA,529,531,520,1579,41,63.08,NA,NA
03,73981,0334755,Amador,Amador County Unified,Argonaut High,147,43,29.25,NA,498,500,497,1495,21,48.84,NA,NA
04,10041,0114991,Butte,Butte County Office of Educati,CORE Butte Charter,65,11,16.92,NA,523,498,514,1535,8,72.73,NA,NA
04,10041,0430066,Butte,Butte County Office of Educati,Table Mountain,10,,.,NA,,,,,,,NA,NA
04,10041,0430090,Butte,Butte County Office of Educati,Learning Community Charter,74,1,1.35,NA,,,,,,,NA,NA
04,10041,6069256,Butte,Butte County Office of Educati,Butte County Special Education,4,,.,NA,,,,,,,NA,NA
04,61408,0430207,Butte,Biggs Unified,Biggs Secondary Community Day,3,,.,NA,,,,,,,NA,NA
04,61408,0430827,Butte,Biggs Unified,Biggs High,45,15,33.33,NA,449,489,453,1391,4,26.67,NA,NA
04,61424,0111039,Butte,Chico Unified,Academy for Change,14,,.,NA,,,,,,,NA,NA
04,61424,0431502,Butte,Chico Unified,Fair View High (Continuation),117,,.,NA,,,,,,,NA,NA
04,61424,0431676,Butte,Chico Unified,Chico High,507,219,43.20,NA,545,552,529,1627,158,72.15,NA,NA
04,61424,0437558,Butte,Chico Unified,Pleasant Valley High,457,198,43.33,NA,523,536,503,1562,116,58.59,NA,NA
04,61432,0433201,Butte,Durham Unified,Durham High,90,42,46.67,NA,534,529,510,1573,29,69.05,NA,NA
04,61440,0121509,Butte,Feather Falls Union Elementary,Ipakanni Early College Charter,3,,.,NA,,,,,,,NA,NA
04,61515,0430140,Butte,Oroville Union High,Oroville High Community Day,6,,.,NA,,,,,,,NA,NA
04,61515,0434803,Butte,Oroville Union High,Las Plumas High,256,59,23.05,NA,504,516,495,1515,37,62.71,NA,NA
04,61515,0435602,Butte,Oroville Union High,Oroville High,284,66,23.24,NA,457,488,450,1395,20,30.30,NA,NA
04,61515,0437566,Butte,Oroville Union High,Prospect High (Continuation),89,,.,NA,,,,,,,NA,NA
04,61531,0121715,Butte,Paradise Unified,Paradise eLearning Academy,9,,.,NA,,,,,,,NA,NA
04,61531,0432856,Butte,Paradise Unified,Ridgeview High (Continuation),61,1,1.64,NA,,,,,,,NA,NA
04,61531,0437350,Butte,Paradise Unified,Paradise Senior High,311,58,18.65,NA,547,560,538,1646,45,77.59,NA,NA
04,61531,6112585,Butte,Paradise Unified,Hometech Charter,21,,.,NA,,,,,,,NA,NA
04,75507,0430157,Butte,Gridley Unified,Gridley Unified Community Day (7-12),1,,.,NA,,,,,,,NA,NA
04,75507,0433946,Butte,Gridley Unified,Esperanza High (Continuation),16,2,12.50,NA,,,,,,,NA,NA
04,75507,0433953,Butte,Gridley Unified,Gridley High,158,53,33.54,NA,472,496,471,1440,23,43.40,NA,NA
05,10058,0530048,Calaveras,Calaveras County Office of Edu,Calaveras River Academy,6,,.,NA,,,,,,,NA,NA
05,10058,0530154,Calaveras,Calaveras County Office of Edu,Mountain Oaks,50,5,10.00,NA,,,,,,,NA,NA
05,10058,6077150,Calaveras,Calaveras County Office of Edu,Calaveras County Special Education (SELP,3,,.,NA,,,,,,,NA,NA
05,10058,9010745,Calaveras,Calaveras County Office of Edu,Oakendell Community,3,,.,NA,,,,,,,NA,NA
05,61556,0530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,29,,.,NA,,,,,,,NA,NA
05,61556,0530121,Calaveras,Bret Harte Union High,John Vierra High,8,,.,NA,,,,,,,NA,NA
05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,159,68,42.77,NA,548,550,539,1636,45,66.18,NA,NA
05,61564,0530022,Calaveras,Calaveras Unified,Gold Strike High,19,,.,NA,,,,,,,NA,NA
05,61564,0530055,Calaveras,Calaveras Unified,Calaveras Unified Alternative-Sierra Hil,15,,.,NA,,,,,,,NA,NA
05,61564,0530113,Calaveras,Calaveras Unified,Jenny Lind High,2,,.,NA,,,,,,,NA,NA
05,61564,0531509,Calaveras,Calaveras Unified,Calaveras High,233,76,32.62,NA,517,527,513,1558,44,57.89,NA,NA
06,10066,0634774,Colusa,Colusa County Office of Educat,Juvenile Hall-Nielson,14,,.,NA,,,,,,,NA,NA
06,10066,6069264,Colusa,Colusa County Office of Educat,Colusa County Special Education,2,,.,NA,,,,,,,NA,NA
06,61598,0630012,Colusa,Colusa Unified,Colusa Alternative High (Continuation),13,,.,NA,,,,,,,NA,NA
06,61598,0630046,Colusa,Colusa Unified,Colusa Alternative Home,27,,.,NA,,,,,,,NA,NA
06,61598,0631259,Colusa,Colusa Unified,Colusa High,75,33,44.00,NA,463,486,455,1404,9,27.27,NA,NA
06,61606,0630095,Colusa,Maxwell Unified,Enid Prine High (Continuation),2,,.,NA,,,,,,,NA,NA
06,61606,0634758,Colusa,Maxwell Unified,Maxwell High,40,15,37.50,NA,463,481,497,1441,7,46.67,NA,NA
06,61614,0630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Continuation),5,,.,NA,,,,,,,NA,NA
06,61614,0635250,Colusa,Pierce Joint Unified,Pierce High,88,26,29.55,NA,435,442,425,1303,8,30.77,NA,NA
06,61622,0630038,Colusa,Williams Unified,Mid Valley High (Continuation),10,,.,NA,,,,,,,NA,NA
06,61622,0637504,Colusa,Williams Unified,Williams High,81,22,27.16,NA,434,442,428,1305,4,18.18,NA,NA
07,10074,0107326,Contra Costa,Contra Costa County Office of,Far East County Programs,7,,.,NA,,,,,,,NA,NA
07,10074,0107334,Contra Costa,Contra Costa County Office of,Central County Special Education Program,5,,.,NA,,,,,,,NA,NA
07,10074,0107342,Contra Costa,Contra Costa County Office of,East County Elementary Special Education,2,,.,NA,,,,,,,NA,NA
07,10074,0118208,Contra Costa,Contra Costa County Office of,Heritage CCCOE Special Education Program,9,,.,NA,,,,,,,NA,NA
07,10074,0120444,Contra Costa,Contra Costa County Office of,Mt. McKinley,31,,.,NA,,,,,,,NA,NA
07,10074,0730242,Contra Costa,Contra Costa County Office of,Delta Vista High,23,,.,NA,,,,,,,NA,NA
07,10074,0730614,Contra Costa,Contra Costa County Office of,Golden Gate Community,5,,.,NA,,,,,,,NA,NA
07,10074,6077168,Contra Costa,Contra Costa County Office of,Floyd I. Marchus,14,,.,NA,,,,,,,NA,NA
07,61630,0107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,52,3,5.77,NA,,,,,,,NA,NA
07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,326,263,80.67,NA,597,621,605,1822,230,87.45,NA,NA
07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,326,292,89.57,NA,601,614,625,1839,262,89.73,NA,NA
07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,368,254,69.02,NA,564,573,570,1707,206,81.10,NA,NA
07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,341,324,95.01,NA,610,620,622,1852,292,90.12,NA,NA
07,61648,0110494,Contra Costa,Antioch Unified,Bidwell Continuation High,131,,.,NA,,,,,,,NA,NA
07,61648,0730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),137,,.,NA,,,,,,,NA,NA
07,61648,0730259,Contra Costa,Antioch Unified,Prospects High (Alternative),172,2,1.16,NA,,,,,,,NA,NA
07,61648,0730465,Contra Costa,Antioch Unified,Deer Valley High,671,284,42.32,NA,493,490,480,1463,121,42.61,NA,NA
07,61648,0730481,Contra Costa,Antioch Unified,Bridges,3,,.,NA,,,,,,,NA,NA
07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,540,128,23.70,NA,463,450,460,1373,34,26.56,NA,NA
07,61697,0737023,Contra Costa,John Swett Unified,John Swett High,118,34,28.81,NA,468,492,456,1416,12,35.29,NA,NA
07,61697,0737619,Contra Costa,John Swett Unified,Willow High,25,,.,NA,,,,,,,NA,NA
07,61721,0107797,Contra Costa,Liberty Union High,Heritage High,505,250,49.50,NA,505,496,502,1503,117,46.80,NA,NA
07,61721,0730457,Contra Costa,Liberty Union High,Freedom High,522,147,28.16,NA,482,481,472,1435,59,40.14,NA,NA
07,61721,0730572,Contra Costa,Liberty Union High,Independence High,279,6,2.15,NA,,,,,,,NA,NA
07,61721,0733980,Contra Costa,Liberty Union High,Liberty High,493,166,33.67,NA,495,493,484,1472,74,44.58,NA,NA
07,61721,0733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),102,,.,NA,,,,,,,NA,NA
07,61739,0730440,Contra Costa,Martinez Unified,Vicente Martinez High,59,,.,NA,,,,,,,NA,NA
07,61739,0730473,Contra Costa,Martinez Unified,Briones (Alternative),33,2,6.06,NA,,,,,,,NA,NA
07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,238,107,44.96,NA,522,552,531,1605,71,66.36,NA,NA
07,61754,0730044,Contra Costa,Mt. Diablo Unified,Northgate High,336,253,75.30,NA,567,603,576,1747,208,82.21,NA,NA
07,61754,0730317,Contra Costa,Mt. Diablo Unified,Horizons Alternative,58,4,6.90,NA,,,,,,,NA,NA
07,61754,0730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),24,,.,NA,,,,,,,NA,NA
07,61754,0730341,Contra Costa,Mt. Diablo Unified,Nueva Vista High (Continuation),10,,.,NA,,,,,,,NA,NA
07,61754,0730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),20,,.,NA,,,,,,,NA,NA
07,61754,0730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Continuation),25,,.,NA,,,,,,,NA,NA
07,61754,0730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),7,1,14.29,NA,,,,,,,NA,NA
07,61754,0730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,2,,.,NA,,,,,,,NA,NA
07,61754,0731380,Contra Costa,Mt. Diablo Unified,Clayton Valley High,384,199,51.82,NA,511,527,507,1546,117,58.79,NA,NA
07,61754,0731646,Contra Costa,Mt. Diablo Unified,College Park High,443,254,57.34,NA,550,568,540,1658,183,72.05,NA,NA
07,61754,0731836,Contra Costa,Mt. Diablo Unified,Concord High,312,115,36.86,NA,505,507,499,1512,60,52.17,NA,NA
07,61754,0734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,329,90,27.36,NA,461,452,454,1366,23,25.56,NA,NA
07,61754,0734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,171,,.,NA,,,,,,,NA,NA
07,61754,0737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,264,103,39.02,NA,480,493,471,1444,45,43.69,NA,NA
07,61788,0730184,Contra Costa,Pittsburg Unified,Riverside High (Continuation),135,,.,NA,,,,,,,NA,NA
07,61788,0735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,482,179,37.14,NA,446,449,440,1335,45,25.14,NA,NA
07,61796,0101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,68,46,67.65,NA,373,409,391,1173,1,2.17,NA,NA
07,61796,0115352,Contra Costa,West Contra Costa Unified,West County Community High,128,5,3.91,NA,,,,,,,NA,NA
07,61796,0118539,Contra Costa,West Contra Costa Unified,WCCUSD Community Day School Program,5,,.,NA,,,,,,,NA,NA
07,61796,0730275,Contra Costa,West Contra Costa Unified,North Campus Continuation,90,1,1.11,NA,,,,,,,NA,NA
07,61796,0730291,Contra Costa,West Contra Costa Unified,Middle College High,70,64,91.43,NA,504,520,503,1526,31,48.44,NA,NA
07,61796,0730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),103,2,1.94,NA,,,,,,,NA,NA
07,61796,0730598,Contra Costa,West Contra Costa Unified,Hercules High,243,126,51.85,NA,473,478,476,1427,45,35.71,NA,NA
07,61796,0732164,Contra Costa,West Contra Costa Unified,De Anza Senior High,176,65,36.93,NA,424,439,442,1306,14,21.54,NA,NA
07,61796,0732941,Contra Costa,West Contra Costa Unified,El Cerrito Senior High,292,166,56.85,NA,491,496,479,1466,77,46.39,NA,NA
07,61796,0733253,Contra Costa,West Contra Costa Unified,Gompers (Samuel) Continuation,94,,.,NA,,,,,,,NA,NA
07,61796,0733659,Contra Costa,West Contra Costa Unified,Kennedy High,232,68,29.31,NA,401,416,406,1223,10,14.71,NA,NA
07,61796,0735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,349,148,42.41,NA,465,458,462,1385,51,34.46,NA,NA
07,61796,0735902,Contra Costa,West Contra Costa Unified,Richmond High,415,128,30.84,NA,404,417,394,1216,10,7.81,NA,NA
07,61804,0113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,361,284,78.67,NA,575,632,584,1791,234,82.39,NA,NA
07,61804,0730051,Contra Costa,San Ramon Valley Unified,California High,546,408,74.73,NA,548,592,546,1686,294,72.06,NA,NA
07,61804,0730218,Contra Costa,San Ramon Valley Unified,Venture (Alternative),101,13,12.87,NA,604,578,562,1745,10,76.92,NA,NA
07,61804,0734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,520,419,80.58,NA,577,610,585,1771,363,86.63,NA,NA
07,61804,0736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,520,362,69.62,NA,570,593,567,1729,287,79.28,NA,NA
07,61804,0736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),36,,.,NA,,,,,,,NA,NA
08,10082,0106625,Del Norte,Del Norte County Office of Edu,Elk Creek,1,,.,NA,,,,,,,NA,NA
08,10082,0106666,Del Norte,Del Norte County Office of Edu,Bar-O,9,,.,NA,,,,,,,NA,NA
08,10082,0109777,Del Norte,Del Norte County Office of Edu,Klamath River Early College of the Redwo,7,,.,NA,,,,,,,NA,NA
08,10082,0830042,Del Norte,Del Norte County Office of Edu,McCarthy Center/Court/Community,6,,.,NA,,,,,,,NA,NA
08,10082,0830059,Del Norte,Del Norte County Office of Edu,Castle Rock,104,2,1.92,NA,,,,,,,NA,NA
08,61820,0833004,Del Norte,Del Norte County Unified,Del Norte High,263,95,36.12,NA,472,499,454,1424,38,40.00,NA,NA
08,61820,0836205,Del Norte,Del Norte County Unified,Sunset High,51,,.,NA,,,,,,,NA,NA
09,10090,0106047,El Dorado,El Dorado County Office of Edu,Blue Ridge,5,,.,NA,,,,,,,NA,NA
09,10090,0930016,El Dorado,El Dorado County Office of Edu,Golden Ridge,10,,.,NA,,,,,,,NA,NA
09,10090,0930123,El Dorado,El Dorado County Office of Edu,Charter Community School Home Study Acad,89,20,22.47,NA,577,553,558,1688,19,95.00,NA,NA
09,10090,0930131,El Dorado,El Dorado County Office of Edu,Rite of Passage,54,,.,NA,,,,,,,NA,NA
09,10090,6069470,El Dorado,El Dorado County Office of Edu,Special Education,2,,.,NA,,,,,,,NA,NA
09,61853,0101808,El Dorado,El Dorado Union High,Mountain View High,17,,.,NA,,,,,,,NA,NA
09,61853,0930081,El Dorado,El Dorado Union High,Oak Ridge High,516,326,63.18,NA,553,575,554,1681,247,75.77,NA,NA
09,61853,0930149,El Dorado,El Dorado Union High,Independent Learning Center (Alternative,63,,.,NA,,,,,,,NA,NA
09,61853,0930164,El Dorado,El Dorado Union High,Union Mine High,230,122,53.04,NA,506,523,501,1530,67,54.92,NA,NA
09,61853,0930206,El Dorado,El Dorado Union High,EDUSHD Community Day,3,,.,NA,,,,,,,NA,NA
09,61853,0930214,El Dorado,El Dorado Union High,Shenandoah High,15,2,13.33,NA,,,,,,,NA,NA
